Name,Path,SAMAccountName,userPrincipalName,OfficePhone,department,AccountPassword,City,Company,Country,Display Name,EmailAddress,Organization,State
James Smith,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",James.Smith,James.Smith@yourdomain.local,555-2239,Sales,P@ssword,Green Bay,Initech,United States,James Smith,James.Smith@yourdomain.local,Initech,WI
Jan Miksovy,"OU=Accounting,OU=Corp,DC=yourdomain,DC=local",Jan.Miksovy,Jan.Miksovy@yourdomain.local,555-2239,Accounting,P@ssword,Green Bay,Initech,United States,Jan Miksovy,Jan.Miksovy@yourdomain.local,Initech,WI
Jon Morris,"OU=developers,OU=Corp,DC=yourdomain,DC=local",Jon.Morris,Jon.Morris@yourdomain.local,555-2230,developers,P@ssword,Green Bay,Initech,United States,Jon Morris,Jon.Morris@yourdomain.local,Initech,WI
Judy Lew,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Judy.Lew,Judy.Lew@yourdomain.local,555-2232,Sales,P@ssword,Green Bay,Initech,United States,Judy Lew,Judy.Lew@yourdomain.local,Initech,WI
Kim Yoshida,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",Kim.Yoshida,Kim.Yoshida@yourdomain.local,555-2232,InfoTech,P@ssword,Green Bay,Initech,United States,Kim Yoshida,Kim.Yoshida@yourdomain.local,Initech,WI
Laurent Vernhes,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",Laurent.Vernhes,Laurent.Vernhes@yourdomain.local,555-2233,InfoTech,P@ssword,Green Bay,Initech,United States,Laurent Vernhes,Laurent.Vernhes@yourdomain.local,Initech,WI
Luis Bonifaz,"OU=Executive,OU=Corp,DC=yourdomain,DC=local",Luis.Bonifaz,Luis.Bonifaz@yourdomain.local,555-4322,Executive,P@ssword,Green Bay,Initech,United States,Luis Bonifaz,Luis.Bonifaz@yourdomain.local,Initech,WI
Meng Phua,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Meng.Phua,Meng.Phua@yourdomain.local,555-4322,Sales,P@ssword,Green Bay,Initech,United States,Meng Phua,Meng.Phua@yourdomain.local,Initech,WI
Sandra Martinez,"OU=InfoTech,OU=Corp,DC=yourdomain,DC=local",Sandra.Martinez,Sandra.Martinez@yourdomain.local,555-4324,InfoTech,P@ssword,Green Bay,Initech,United States,Sandra Martinez,Sandra.Martinez@yourdomain.local,Initech,WI
Stefan Knorr,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Stefan.Knorr,Stefan.Knorr@yourdomain.local,555-4325,Sales,P@ssword,Green Bay,Initech,United States,Stefan Knorr,Stefan.Knorr@yourdomain.local,Initech,WI
Sunil Koduri,"OU=Sales,OU=Corp,DC=yourdomain,DC=local",Sunil.Koduri,Sunil.Koduri@yourdomain.local,555-4326,Sales,P@ssword,Green Bay,Initech,United States,Sunil Koduri,Sunil.Koduri@yourdomain.local,Initech,WI
